plot;tag;GenusSpecies;family;order1;order2;order3
P07;823412;Tapirira guianensis;Anacardiaceae;1.34454899476675;2.06242877387278;0.381337068065905
P07;823412;Tapirira guianensis;Anacardiaceae;1.1133268375918;0.714046022275899;0.859711492460001
P07;823412;Tapirira guianensis;Anacardiaceae;1.08836483582766;0.461791318327526;0.738854512518611
P07;823412;Tapirira guianensis;Anacardiaceae;1.1124726940205;1.41542220071218;0.653175671390224
P07;502871;Tapirira guianensis;Anacardiaceae;1.15922203054928;0.677926674869848;0.528816138837619
P07;502871;Tapirira guianensis;Anacardiaceae;2.35688602336959;0.926059257177433;0.775779833039343
P07;502871;Tapirira guianensis;Anacardiaceae;1.69898043031291;1.32353235153101;0.749833465767187
P07;502871;Tapirira guianensis;Anacardiaceae;1.23230867956905;0.827325394822924;1.20304976298572
P07;502761;Aspidosperma spruceanum;Apocynaceae;0.611940124850468;0.701685705245284;0.209723674851475
P07;502761;Aspidosperma spruceanum;Apocynaceae;0.547511502040718;0.839767342492249;0.623422218339623
P07;502761;Aspidosperma spruceanum;Apocynaceae;0.869504507267945;0.587308910342719;0.406658084728022
P07;502761;Aspidosperma spruceanum;Apocynaceae;1.32268205844401;0.667555841701252;0.500799607598729
P08;506530;Welfia regia;Arecaceae;1.87081852462013;1.4147338140893;0.549877615218702
P08;506530;Welfia regia;Arecaceae;1.1393924035015;1.11737372003025;0.595376792623868
P08;506530;Welfia regia;Arecaceae;1.48494598880202;1.18323837928599;0.512670581461443
P08;506530;Welfia regia;Arecaceae;0.53055770909133;0.694291805600552;0.560361358375106
P08;506504;Welfia regia;Arecaceae;1.48487998680239;1.30388163658771;0.475206406154458
P08;506504;Welfia regia;Arecaceae;1.59929165614627;1.36996771811069;0.404958376157937
P08;506504;Welfia regia;Arecaceae;1.76249977052602;1.26095277636098;0.715405444962765
P08;506950;Pourouma bicolor;Urticaceae;1.73352157888825;1.78574743767363;0.835746790404953
P08;506950;Pourouma bicolor;Urticaceae;1.27457102202981;1.69498137067798;0.878701291719286
P08;506950;Pourouma bicolor;Urticaceae;1.56952568971583;0.906222625359995;0.836016886276902
P08;507456;Pourouma bicolor;Urticaceae;2.26561789150111;1.61994399436945;0.701333748831592
P08;507456;Pourouma bicolor;Urticaceae;1.49681514354037;1.79939783367718;0.73672870566792
P08;507456;Pourouma bicolor;Urticaceae;1.61876974623627;1.69673979558203;0.826167358926205
P08;507456;Pourouma bicolor;Urticaceae;1.17573997649126;1.29011596424492;0.703692584232433
P08;507610;Trattinnickia aspera;Burseraceae;1.44712867979613;0.954047353225377;0.578768183676384
P08;507610;Trattinnickia aspera;Burseraceae;1.10720924858242;0.699998581219796;0.532115559388492
P08;507610;Trattinnickia aspera;Burseraceae;1.54880362881545;1.33453452368847;0.48054450946861
P08;507610;Trattinnickia aspera;Burseraceae;1.82408814835489;1.31315751240581;0.312819965724972
P08;743300;Trattinnickia aspera;Burseraceae;2.0500508019272;0.590942322837629;0.108248632868942
P08;743300;Trattinnickia aspera;Burseraceae;1.30487158490634;1.09947971873091;0.153285583512991
P08;743300;Trattinnickia aspera;Burseraceae;0.243529164504788;1.05648021165381;0.0730397520005697
P08;743300;Trattinnickia aspera;Burseraceae;0.405283949060053;0.643692313906589;0.159287837286038
P08;721551;Tapirira guianensis;Anacardiaceae;1.84917445162468;0.786004200847555;0.441643570563018
P08;721551;Tapirira guianensis;Anacardiaceae;2.06602491232424;1.45218002480048;0.322585404555738
P08;721551;Tapirira guianensis;Anacardiaceae;1.0983866957488;1.54756274223376;0.88194424525205
P08;721551;Tapirira guianensis;Anacardiaceae;1.49567305803202;1.65093074282356;0.716789032610242
P08;506551;Tapirira guianensis;Anacardiaceae;4.08066709126021;1.71816289874649;0.982087307626587
P08;506551;Tapirira guianensis;Anacardiaceae;1.66643736346548;1.2540392073117;0.704400959870156
P08;506551;Tapirira guianensis;Anacardiaceae;2.07524684970152;1.28640286199106;0.569634621544328
P08;506551;Tapirira guianensis;Anacardiaceae;1.82083114747912;1.06604939784229;0.729698534255545
P08;506551;Tapirira guianensis;Anacardiaceae;1.73354382303588;1.1405762944517;1.22538983057306
P08;506551;Tapirira guianensis;Anacardiaceae;1.96355028056947;1.38791427599963;1.60600362589749
P08;506551;Tapirira guianensis;Anacardiaceae;1.33651417751526;1.01759267840013;1.39350090737286
P08;506551;Tapirira guianensis;Anacardiaceae;1.29584490145667;1.98450271213692;0.809949614697121
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;1.92645659779683;0.990624585980613;0.393900505948129
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;2.31755479509217;0.927511948100296;0.287593067020426
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;2.14663222167978;0.848175225386468;0.212015464241129
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;3.01837868127866;0.711109465177533;0.233760934547622
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.19229981691301;1.04363303119088;0.174174291356643
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.0721849288508;0.600625711713684;0.208025626521998
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.27241905422268;0.744919368047303;0.207633264909644
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;0.970729968054221;0.644291470767735;0.216147082292579
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.38579673427162;0.659988062101901;0.581749089280816
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.34936790576476;0.609428314559549;0.406665464427304
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.57773112464911;1.24369569838;0.261216530759676
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;2.18316406952178;0.426600199579739;0.271227357356585
P24;539658;Cavanillesia platanifolia;Malvaceae;0.548301882256563;0.282887169542654;0.358553845995322
P24;539658;Cavanillesia platanifolia;Malvaceae;0.520269094908424;0.23149335099618;0.372260705326354
P24;539658;Cavanillesia platanifolia;Malvaceae;0.54244858427415;0.377095412201666;0.410815542837233
